alternate_positions,avatar_url,common_name,first_name,id,last_name,league_name,nationality_image_url,nationality_label,overall_rating,player_abilities_images,player_abilities_labels,position_short_label,preferred_foot,shield_url,skill_moves,stat_acceleration,stat_aggression,stat_agility,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_jumping,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_stamina,stat_standingTackle,stat_strength,stat_vision,stat_volleys,team_image_url,team_label,weak_foot
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p209331.webp,,Mohamed,209331,Salah,Premier League,https://drop-assets.ea.com/images/3oaPJgnayo3Vq637niTdZs/2f31f32693e575ac1ae46a0651b1a8f7/f_111.png,Egypt,91,https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/4KwpQLGCfHPMd9oq5Xl42z/2101ac72c690fd36205fb9c6dbac6bd1/Finesse_Shot_.png,Low Driven Shot|Gamechanger|Whipped Pass|Inventive|Technical|First Touch|Finesse Shot+,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/209331_en.webp,4,88,63,86,91,90,93,86,88,45,38,90,90,94,69,14,14,9,11,14,59,55,79,81,78,89,86,88,76,93,94,88,88,83,41,89,88,43,75,89,83,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Liverpool,3
LW|LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231747.webp,,Kylian,231747,Mbappé,LALIGA EA SPORTS,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,France,91,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/2sRRBHcIe0zrDwYaRI2xG3/d02b8c8855de853470897009e030eb5d/Acrobatic.png|https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/1aGsvwKyIFlRG1eoJSS0Ot/a4d3d661ff962795a632fe86439d2146/Rapid.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/44zHnq7IqO4ItY3NPzXNEC/d7fc408baa76e8ba053cd69e0a1a51c4/Quick_Step_.png,Finesse Shot|Acrobatic|Low Driven Shot|Gamechanger|Rapid|First Touch|Quick Step+,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231747_en.webp,5,97,61,93,82,93,88,78,80,37,26,92,92,92,69,13,5,7,11,6,78,38,90,74,86,97,81,82,76,91,91,90,87,91,32,97,83,34,77,83,87,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,Real Madrid,4
RW|CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231443.webp,,Ousmane,231443,Dembélé,Ligue 1 McDonald's,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,France,90,https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/1mXBWIBgJSpYoIa1C4r5FX/7220e78a4049530f4e9fa642b1656fa4/Pinged_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/47Ygd5ri33RgjIYGiTAJpj/f0723e6f2f89a98fb6e8200c3659c6a9/Trickster.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png|https://drop-assets.ea.com/images/3bouBLJaUvpDtluboKK8gC/6fc716d67e1a7e9da59e2a2022018c11/Rapid_.png,Low Driven Shot|Pinged Pass|Inventive|Trickster|Quick Step|Rapid+,ST,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231443_en.webp,5,93,58,94,81,94,88,80,85,50,49,93,94,90,68,6,6,14,10,13,74,45,84,78,85,91,83,80,69,95,91,88,89,91,39,89,76,49,69,84,79,https://drop-assets.ea.com/images/2QwnhmHh5K7bjkfZAF7ZCi/7c53874542fb5c606ff810a4b1f6b88b/l73.png,Paris SG,5
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p231866.webp,Rodri,Rodrigo,231866,Hernández Cascante,Premier League,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,90,https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/7jwRDD4zkOsqRpc821t73d/16d46d57a5dfc7dd5dd5f8de0fd26a99/Long_Ball_Pass.png|https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png|https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png|https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png|https://drop-assets.ea.com/images/41inaqjOz5PemcT2DAIIbO/ea5bce0dbf959316d4f7fea60824ef9b/Tiki_Taka_.png,Power Shot|Long Ball Pass|Aerial Fortress|Press Proven|Bruiser|Tiki Taka+,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231866_en.webp,3,65,85,66,67,90,93,76,86,86,88,84,84,74,64,10,10,7,14,8,81,84,83,91,89,65,86,62,85,76,93,80,93,92,82,65,91,87,83,84,71,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Manchester City,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p203376.webp,,Virgil,203376,van Dijk,Premier League,https://drop-assets.ea.com/images/7LmdSUm2Ge4fzqcz0NElvq/d272142c80713dcf0e5ec0a47232aeee/f_34.png,Holland,90,https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/1mXBWIBgJSpYoIa1C4r5FX/7220e78a4049530f4e9fa642b1656fa4/Pinged_Pass.png|https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png|https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png|https://drop-assets.ea.com/images/3rsDbUXd3MZX39YTsk6lKe/404db89f2237eeb7466668a730c52a4b/Aerial_Fortress.png|https://drop-assets.ea.com/images/7euMJ2jVypFrFPQesWuGGm/14019168b12faac1584a2920d5c2d5d9/Bruiser.png|https://drop-assets.ea.com/images/7ewPPmqkwIRvGmV5WVFwa7/65b03a2146e76a0562b86341d2a72ee8/Intercept_.png,Precision Header|Pinged Pass|Jockey|Anticipate|Aerial Fortress|Bruiser|Intercept+,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/203376_en.webp,2,66,85,54,50,77,90,53,60,90,91,72,70,52,70,13,10,13,11,11,88,91,89,83,64,73,72,62,87,47,90,60,80,81,87,78,75,91,93,70,45,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Liverpool,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p252371.webp,,Jude,252371,Bellingham,LALIGA EA SPORTS,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,90,https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/7mI1lrxE0pv9iJfQFki9OA/8c1ecac325f923e049be72231c8c968a/Slide_Tackle.png|https://drop-assets.ea.com/images/5Esx7NK4YBU44O4bo07rvb/69ca9417da7fd07905f6c6956ad93f6d/Technical.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/3hFTQQe2XXOx9eQjAFTAPF/48efd1569027da6e1c5e65259211febb/Relentless_.png,Low Driven Shot|Gamechanger|Inventive|Slide Tackle|Technical|First Touch|Relentless+,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252371_en.webp,4,81,85,83,83,91,90,66,73,78,77,90,91,88,68,14,11,10,5,8,75,82,85,89,87,80,83,74,85,91,91,86,90,86,77,80,94,79,80,90,77,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,Real Madrid,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p239085.webp,,Erling,239085,Haaland,Premier League,https://drop-assets.ea.com/images/kyD8KeqfkpF4AODggVj9z/999272a9ed21faa0d79c9ed626b89ec2/f_36.png,Norway,90,https://drop-assets.ea.com/images/6Gl08kt7odn1fJNX74CS2P/984feac3cd8d99902f5cb5131d5fd26a/Chip_Shot.png|https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/3ync8fbblS4zLzF3p1VXmT/7752a5103c2ebd8be5cf1819379c66f4/Precision_Header.png|https://drop-assets.ea.com/images/2sRRBHcIe0zrDwYaRI2xG3/d02b8c8855de853470897009e030eb5d/Acrobatic.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/2sNQz8b9dgV0hW8vl7oOvV/d7a503dbd4c73b232055b3ca06aa88eb/Enforcer.png|https://drop-assets.ea.com/images/7lY8ZhvwacbwMVTeuXYmM6/0e9f0e9411ad83a18712cbc1549a8317/Low_Driven_Shot_.png,Chip Shot|Power Shot|Precision Header|Acrobatic|Gamechanger|Enforcer|Low Driven Shot+,ST,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239085_en.webp,3,79,88,71,69,82,86,58,77,45,38,80,79,94,62,7,14,13,11,7,83,43,92,66,83,86,70,90,88,95,93,91,77,94,29,92,76,47,93,74,90,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Manchester City,3
LW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p233419.webp,Raphinha,Raphael,233419,Dias Belloli,LALIGA EA SPORTS,https://drop-assets.ea.com/images/1zdNn1R9tRlfQ3lsbAOecD/a606f742789b6306363383a6e20dd003/f_54.png,Brazil,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/3ohVoKWSsvT44qgjabWqfV/e536ef26ad854c3c4cbf63ed7954b9cd/Power_Shot.png|https://drop-assets.ea.com/images/47Ygd5ri33RgjIYGiTAJpj/f0723e6f2f89a98fb6e8200c3659c6a9/Trickster.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png|https://drop-assets.ea.com/images/3bouBLJaUvpDtluboKK8gC/6fc716d67e1a7e9da59e2a2022018c11/Rapid_.png,Finesse Shot|Power Shot|Trickster|Quick Step|Relentless|Rapid+,LM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233419_en.webp,4,90,77,88,79,88,85,86,85,53,49,87,88,87,79,8,7,13,8,14,74,56,82,80,82,91,85,78,75,89,87,84,85,83,38,91,91,54,65,87,72,https://drop-assets.ea.com/images/5VXhqALaBzgvb2YG8iJxlq/990024f3e3ecc9e6c37eae41ebef86bd/l241.png,FC Barcelona,4
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p235212.webp,,Achraf,235212,Hakimi,Ligue 1 McDonald's,https://drop-assets.ea.com/images/47SGeQ7STCrJZQSKOVJaHA/1aa24a57a60f85051e34a5ad8205771d/f_129.png,Morocco,89,https://drop-assets.ea.com/images/1NfyWsEpQ7s9bhWWt92lbn/5b5dbeb0e55c2e9241cdc26c70ee2d2c/Low_Driven_Shot.png|https://drop-assets.ea.com/images/FfTP29PWrRWZjEaiCCVoa/a1b345e4ae7023ed78b1efd68d28f392/Whipped_Pass.png|https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png|https://drop-assets.ea.com/images/4xPnUcL7thizFB7qmhlwUR/1ade7a0f77d5e875c2db869964540a35/Anticipate.png|https://drop-assets.ea.com/images/5rUHwyLJRnvGV53Ba4Pj6M/9a3238695ae8103667ba02af391ac209/Press_Proven.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png|https://drop-assets.ea.com/images/3hFTQQe2XXOx9eQjAFTAPF/48efd1569027da6e1c5e65259211febb/Relentless_.png,Low Driven Shot|Whipped Pass|Jockey|Anticipate|Press Proven|Quick Step|Relentless+,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235212_en.webp,4,89,77,81,78,85,84,85,78,82,82,83,82,80,80,10,8,14,6,8,71,85,84,73,77,92,82,68,79,84,90,79,86,82,79,95,95,85,72,78,74,https://drop-assets.ea.com/images/2QwnhmHh5K7bjkfZAF7ZCi/7c53874542fb5c606ff810a4b1f6b88b/l73.png,Paris SG,4
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p277643.webp,Lamine Yamal,Lamine Yamal,277643,Nasraoui Ebana,LALIGA EA SPORTS,https://drop-assets.ea.com/images/Kv8okAYMsDbB3ZKbxrAXw/9d30c88d16a4c85002f35c6af412c6f7/f_45.png,Spain,89,https://drop-assets.ea.com/images/468u1R1p2k1fA6WBHi0OEn/fb9d49ed2a8fb500cd5a184937b96b34/Finesse_Shot.png|https://drop-assets.ea.com/images/2v8I0GQrtREaEJzJcyStKe/e46d719e4e5ed88ac5a1f671c7448f4a/Gamechanger.png|https://drop-assets.ea.com/images/2K5BYfVYRnrdjt8F3hwI04/62f147b6a436c107bfa3d042c1d5728d/Incisive_Pass.png|https://drop-assets.ea.com/images/4fpo31RdL5T0vrzNqcSc4x/f82209bfd51270dcc447d4313b3e61f1/Inventive.png|https://drop-assets.ea.com/images/3f727XsoDVLbT49oMk0HBu/2787568be8ccb2d5daa2d18fabacad97/First_Touch.png|https://drop-assets.ea.com/images/1xG25Zp3wvkLA5YewKiZah/f27f5fabd1e899fc0bbb817d2db233b1/Quick_Step.png|https://drop-assets.ea.com/images/6cWRgF7ajOw0RTRFA7DwBk/8286927d45e7f2cfbf1020799d054468/Technical_.png,Finesse Shot|Gamechanger|Incisive Pass|Inventive|First Touch|Quick Step|Technical+,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/277643_en.webp,5,88,45,93,81,90,84,89,87,23,23,90,92,83,65,9,13,7,10,7,33,18,58,84,82,85,86,69,53,88,88,81,88,83,28,83,73,20,45,88,65,https://drop-assets.ea.com/images/5VXhqALaBzgvb2YG8iJxlq/990024f3e3ecc9e6c37eae41ebef86bd/l241.png,FC Barcelona,3
